,Item #,Part #,List Price,Frame Rating,Amp Rating,Breaking Capacity,Performance %,Trip Unit,240V kAIC,480V kAIC,Labor Units
,02090067UL,UTS250H FTU 150A 3P LO UL,"$2,613.41 ",250,150A,H,80,FTU,100,65,2
,02090068UL,UTS250H FTU 175A 3P LO UL,"$2,613.41 ",250,175A,H,80,FTU,100,65,2
,02090069UL,UTS250H FTU 200A 3P LO UL,"$2,613.41 ",250,200A,H,80,FTU,100,65,2
,02090070UL,UTS250H FTU 225A 3P LO UL,"$2,613.41 ",250,225A,H,80,FTU,100,65,2
,02090071UL,UTS250H FTU 250A 3P LO UL,"$2,613.41 ",250,250A,H,80,FTU,100,65,2
,02090075UL,UTS250H ATU 160A 3P LO UL,"$3,382.34 ",250,160A,H,80,ATU,100,65,2
,02090076UL,UTS250H ATU 200A 3P LO UL,"$3,382.34 ",250,200A,H,80,ATU,100,65,2
,02090077UL,UTS250H ATU 250A 3P LO UL,"$3,382.34 ",250,250A,H,80,ATU,100,65,2
,02090111UL,UTS250L FTU 150A 3P LO UL,"$3,219.38 ",250,150A,L,80,FTU,100,100,2
,02090112UL,UTS250L FTU 175A 3P LO UL,"$3,219.38 ",250,175A,L,80,FTU,100,100,2
,02090113UL,UTS250L FTU 200A 3P LO UL,"$3,219.38 ",250,200A,L,80,FTU,100,100,2
,02090114UL,UTS250L FTU 225A 3P LO UL,"$3,219.38 ",250,225A,L,80,FTU,100,100,2
,02090115UL,UTS250L FTU 250A 3P LO UL,"$3,219.38 ",250,250A,L,80,FTU,100,100,2
,02090119UL,UTS250L ATU 160A 3P LO UL,"$3,741.74 ",250,160A,L,80,ATU,100,100,2
,02090120UL,UTS250L ATU 200A 3P LO UL,"$3,741.74 ",250,200A,L,80,ATU,100,100,2
,02090121UL,UTS250L ATU 250A 3P LO UL,"$3,741.74 ",250,250A,L,80,ATU,100,100,2
,02090159UL,UTS250NT FTU 150A 3P LO UL,"$2,558.96 ",250,150A,NT,100,FTU,65,35,2
,02090160UL,UTS250NT FTU 175A 3P LO UL,"$2,558.96 ",250,175A,NT,100,FTU,65,35,2
,02090161UL,UTS250NT FTU 200A 3P LO UL,"$2,558.96 ",250,200A,NT,100,FTU,65,35,2
